,gender,new_location,mixed_attitude,economic_inflation,cost_of_living,income,redundancy,new_car,policy_war,good_mood,bad_mood,treatment/control
347,0,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
348,1,southwest,Neutral,1,1,1,1,1,1,1,1,0
349,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
350,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
351,0,scotland,Slightly Positive,1,1,1,1,1,1,1,1,0
352,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
353,1,southeast,Slightly Positive,1,1,1,1,1,1,1,1,0
354,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
355,1,northwest,Slightly Negative,1,1,1,1,1,1,1,1,0
356,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
357,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
358,1,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
359,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
360,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
361,0,southwest,Neutral,1,1,1,1,1,1,1,1,0
362,1,northwest,Slightly Negative,1,1,1,1,1,1,1,1,0
363,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
364,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
365,1,yorkshire,Neutral,1,1,1,1,1,1,1,1,0
366,0,london,Extremely Positive,1,1,1,1,1,1,1,1,0
367,1,newcastle,Neutral,1,1,1,1,1,1,1,1,0
368,1,yorkshire,Slightly Positive,1,1,1,1,1,1,1,1,0
369,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
370,1,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
371,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
372,0,other towns and places,Slightly Positive,1,1,1,1,1,1,1,1,0
373,0,london,Neutral,1,1,1,1,1,1,1,1,0
374,1,huddersfield,Neutral,1,1,1,1,1,1,1,1,0
375,0,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
376,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
377,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
378,1,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
379,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
380,1,slough,Neutral,1,1,1,1,1,1,1,1,0
381,1,northwest,Neutral,1,1,1,1,1,1,1,1,0
382,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
383,1,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
384,0,yorkshire,Slightly Negative,1,1,1,1,1,1,1,1,0
385,0,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
386,1,london,Slightly Positive,1,1,1,1,1,1,1,1,0
387,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
388,1,scotland,Slightly Positive,1,1,1,1,1,1,1,1,0
389,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
390,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
391,1,wales,Neutral,1,1,1,1,1,1,1,1,0
392,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
393,1,east midland,Slightly Negative,1,1,1,1,1,1,1,1,0
394,1,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
395,1,southwest,Neutral,1,1,1,1,1,1,1,1,0
396,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
397,0,southwest,Slightly Positive,1,1,1,1,1,1,1,1,0
398,1,yorkshire,Slightly Negative,1,1,1,1,1,1,1,1,0
399,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
400,0,west midland,Neutral,1,1,1,1,1,1,1,1,0
401,0,southeast,Neutral,1,1,1,1,1,1,1,1,0
402,1,other towns and places,Neutral,1,1,1,1,1,1,1,1,0
403,1,southwest,Neutral,1,1,1,1,1,1,1,1,0
404,1,northwest,Neutral,1,1,1,1,1,1,1,1,0
405,1,wales,Slightly Negative,1,1,1,1,1,1,1,1,0
406,1,other towns and places,Slightly Negative,1,1,1,1,1,1,1,1,0
407,1,other towns and places,Extremely Positive,1,1,1,1,1,1,1,1,0
